sl.no.,rainfall,spi_6
1,342.77,0.14
2,279.49,0.55
3,363.87,1.02
4,290.04,1.31
5,26.37,1.31
6,10.55,1.20
7,0.00,0.79
8,31.64,0.44
9,84.38,-0.08
10,26.37,-0.86
11,52.73,-0.76
12,126.56,-0.38
13,205.66,0.09
14,406.05,0.70
15,522.07,1.23
16,100.20,1.31
17,68.55,1.32
18,15.82,1.21
19,0.00,0.97
20,0.00,0.41
21,5.27,-0.82
22,0.00,-1.35
23,10.55,-1.95
24,42.19,-1.62
25,205.66,-0.55
26,205.66,-0.02
27,305.86,0.51
28,189.84,0.78
29,100.20,0.89
30,0.00,0.84
31,10.55,0.57
32,15.82,0.27
33,10.55,-0.37
34,0.00,-1.06
35,21.09,-1.62
36,31.64,-1.35
37,205.66,-0.49
38,421.88,0.39
39,279.49,0.78
40,84.38,0.89
41,15.82,0.88
42,0.00,0.84
43,0.00,0.56
44,47.46,-0.12
45,5.27,-0.98
46,0.00,-1.51
47,5.27,-1.62
48,5.27,-1.56
49,94.92,-0.96
50,321.68,-0.11
51,305.86,0.45
52,247.85,0.81
53,105.47,0.93
54,0.00,0.93
55,0.00,0.81
56,26.37,0.38
57,26.37,-0.17
58,5.27,-0.93
59,26.37,-1.39
60,21.09,-1.24
61,379.69,0.01
62,274.22,0.45
63,384.96,0.95
64,152.93,1.12
65,26.37,1.12
66,58.01,1.16
67,5.27,0.70
68,5.27,0.29
69,0.00,-0.60
70,10.55,-1.24
71,5.27,-1.39
72,26.37,-1.67
73,94.92,-1.03
74,284.77,-0.13
75,189.84,0.25
76,110.74,0.42
77,89.65,0.55
78,31.64,0.56
79,10.55,0.43
80,0.00,-0.11
81,21.09,-0.55
82,5.27,-0.96
83,5.27,-1.47
84,21.09,-1.56
85,168.75,-0.70
86,158.20,-0.23
87,226.76,0.20
88,126.56,0.41
89,5.27,0.41
90,0.00,0.38
91,0.00,0.07
92,0.00,-0.28
93,0.00,-1.09
94,21.09,-2.05
95,0.00,-2.16
96,10.55,-1.95
97,321.68,-0.30
98,279.49,0.29
99,374.41,0.84
100,205.66,1.07
101,5.27,1.07
102,0.00,1.06
103,5.27,0.66
104,0.00,0.21
105,31.64,-0.60
106,21.09,-1.56
107,21.09,-1.43
108,174.02,-0.59
109,268.95,0.07
110,263.67,0.53
111,374.41,0.98
112,268.95,1.26
113,210.94,1.45
114,10.55,1.29
115,0.00,0.99
116,0.00,0.65
117,0.00,0.02
118,5.27,-0.68
119,0.00,-2.30
120,0.00,-2.78
121,179.30,-0.84
122,305.86,0.02
123,353.32,0.62
124,126.56,0.79
125,31.64,0.83
126,26.37,0.86
127,5.27,0.63
128,0.00,0.12
129,0.00,-0.82
130,0.00,-1.56
131,21.09,-1.67
132,47.46,-1.47
133,116.02,-0.84
134,295.31,0.00
135,395.51,0.67
136,163.48,0.88
137,5.27,0.86
138,15.82,0.82
139,0.00,0.67
140,0.00,0.19
141,10.55,-0.80
142,15.82,-1.73
143,21.09,-1.56
144,31.64,-1.43
145,195.12,-0.52
146,427.15,0.40
147,348.05,0.88
148,205.66,1.11
149,58.01,1.15
150,0.00,1.11
151,0.00,0.88
152,0.00,0.25
153,10.55,-0.52
154,0.00,-1.51
155,5.27,-2.30
156,68.55,-1.39
157,268.95,-0.30
158,553.71,0.71
159,337.50,1.11
160,237.30,1.37
161,52.73,1.41
162,5.27,1.35
163,0.00,1.06
164,58.01,0.39
165,5.27,-0.28
166,26.37,-1.01
167,5.27,-1.27
168,58.01,-0.98
169,121.29,-0.52
170,453.52,0.35
171,274.22,0.75
172,195.12,0.97
173,68.55,1.04
174,10.55,0.99
175,0.00,0.83
176,0.00,0.13
177,5.27,-0.50
178,15.82,-1.27
179,21.09,-1.67
180,5.27,-1.73
181,94.92,-1.03
182,311.13,-0.06
183,284.77,0.45
184,105.47,0.59
185,31.64,0.61
186,10.55,0.61
187,0.00,0.47
188,15.82,-0.07
189,0.00,-0.93
190,26.37,-1.39
191,68.55,-1.14
192,15.82,-1.12
193,100.20,-0.68
194,358.59,0.17
195,353.32,0.73
196,68.55,0.79
197,5.27,0.70
198,26.37,0.72
199,42.19,0.64
200,10.55,0.05
201,15.82,-0.91
202,15.82,-1.18
203,10.55,-1.14
204,31.64,-1.12
205,131.84,-0.72
206,210.94,-0.14
207,221.48,0.27
208,142.38,0.48
209,126.56,0.65
210,68.55,0.70
211,0.00,0.51
212,0.00,0.15
213,5.27,-0.32
214,0.00,-0.78
215,0.00,-1.47
216,42.19,-1.73
217,158.20,-0.76
218,168.75,-0.24
219,500.98,0.66
220,205.66,0.93
221,36.91,0.97
222,0.00,0.92
223,0.00,0.72
224,0.00,0.47
225,31.64,-0.52
226,0.00,-1.51
227,5.27,-1.87
228,31.64,-1.51
229,311.13,-0.23
230,279.49,0.33
231,189.84,0.58
232,84.38,0.70
233,5.27,0.70
234,0.00,0.66
235,0.00,0.15
236,5.27,-0.49
237,0.00,-1.31
238,15.82,-2.05
239,26.37,-1.73
240,47.46,-1.31
241,316.41,-0.15
242,321.68,0.45
243,326.95,0.90
244,116.02,1.02
245,68.55,1.07
246,15.82,1.03
247,0.00,0.63
248,26.37,0.14
249,0.00,-0.68
250,15.82,-1.12
251,5.27,-1.56
252,26.37,-1.47
253,195.12,-0.54
254,137.11,-0.23
255,290.04,0.35
256,73.83,0.45
257,31.64,0.49
258,0.00,0.45
259,0.00,0.10
260,0.00,-0.19
261,21.09,-1.12
262,26.37,-1.43
263,10.55,-1.62
264,0.00,-1.62
265,73.83,-1.09
266,395.51,0.09
267,453.52,0.78
268,290.04,1.10
269,168.75,1.27
270,0.00,1.27
271,42.19,1.24
272,52.73,0.84
273,0.00,0.14
274,15.82,-0.50
275,15.82,-1.12
276,21.09,-1.01
277,253.12,-0.28
278,311.13,0.26
279,221.48,0.61
280,216.21,0.88
281,36.91,0.91
282,0.00,0.88
283,0.00,0.54
284,63.28,0.11
285,0.00,-0.40
286,0.00,-1.27
287,5.27,-1.51
288,36.91,-1.24
289,137.11,-0.62
290,474.61,0.32
291,305.86,0.78
292,295.31,1.14
293,152.93,1.30
294,0.00,1.26
295,5.27,1.11
296,0.00,0.50
297,0.00,-0.06
298,31.64,-0.82
299,52.73,-1.35
300,68.55,-0.96
301,84.38,-0.64
302,379.69,0.26
303,321.68,0.75
304,263.67,1.04
305,0.00,0.98
306,26.37,0.93
307,0.00,0.82
308,0.00,0.25
309,21.09,-0.41
310,0.00,-1.73
311,0.00,-1.73
312,21.09,-1.80
313,537.89,0.19
314,274.22,0.64
315,300.59,1.00
316,184.57,1.21
317,26.37,1.23
318,10.55,1.22
319,0.00,0.55
320,10.55,0.10
321,15.82,-0.60
322,42.19,-1.24
323,10.55,-1.35
324,5.27,-1.39
325,221.48,-0.43
326,232.03,0.09
327,258.40,0.51
328,337.50,0.91
329,5.27,0.91
330,0.00,0.90
331,0.00,0.61
332,0.00,0.23
333,0.00,-0.32
334,10.55,-2.30
335,5.27,-2.30
336,26.37,-1.80
337,73.83,-1.18
338,553.71,0.35
339,279.49,0.77
340,84.38,0.86
341,42.19,0.91
342,36.91,0.92
343,10.55,0.84
344,15.82,-0.02
345,0.00,-0.82
346,5.27,-1.21
347,21.09,-1.35
348,26.37,-1.43
349,179.30,-0.60
350,448.24,0.37
351,268.95,0.77
352,284.77,1.11
353,68.55,1.16
354,31.64,1.17
355,52.73,1.02
356,0.00,0.41
357,10.55,-0.07
358,0.00,-0.93
359,94.92,-0.82
360,42.19,-0.78
361,158.20,-0.43
362,348.05,0.32
363,400.78,0.89
364,337.50,1.27
365,5.27,1.18
366,0.00,1.13
367,21.09,0.97
368,26.37,0.54
369,0.00,-0.20
370,0.00,-1.67
371,36.91,-1.39
372,15.82,-1.27
373,237.30,-0.40
374,564.26,0.64
375,500.98,1.25
376,258.40,1.50
377,21.09,1.49
378,26.37,1.50
379,0.00,1.26
380,0.00,0.57
381,5.27,-0.41
382,0.00,-1.67
383,47.46,-1.43
384,0.00,-1.67
385,358.59,-0.15
386,474.61,0.68
387,332.23,1.09
388,168.75,1.27
389,163.48,1.39
390,352.27,1.72
391,388.13,1.75
392,0.00,1.30
393,31.64,0.96
394,10.55,0.76
395,36.91,0.59
396,15.82,0.00
397,105.47,-0.78
398,490.43,0.39
399,258.40,0.72
400,305.86,1.09
401,68.55,1.13
402,0.00,1.11
403,0.00,0.99
404,5.27,0.30
405,0.00,-0.23
406,26.37,-1.27
407,31.64,-1.56
408,21.09,-1.39
409,337.50,-0.13
410,210.94,0.28
411,311.13,0.75
412,284.77,1.07
413,0.00,1.03
414,0.00,1.01
415,10.55,0.58
416,0.00,0.24
417,0.00,-0.46
418,15.82,-2.05
419,5.27,-1.95
420,15.82,-1.73
421,189.84,-0.68
422,379.69,0.24
423,268.95,0.67
424,342.77,1.08
425,94.92,1.18
426,0.00,1.16
427,0.00,0.94
428,0.00,0.41
429,0.00,-0.09
430,21.09,-1.18
431,0.00,-2.16
432,5.27,-2.05
433,189.84,-0.72
434,437.70,0.32
435,284.77,0.75
436,210.94,0.99
437,84.38,1.09
438,0.00,1.08
439,0.00,0.86
440,0.00,0.19
441,10.55,-0.43
442,5.27,-1.27
443,36.91,-1.67
444,21.09,-1.47
445,110.74,-0.84
446,332.23,0.07
447,458.79,0.79
448,121.29,0.93
449,15.82,0.91
450,0.00,0.88
451,58.01,0.81
452,10.55,0.34
453,10.55,-0.72
454,10.55,-1.24
455,10.55,-1.27
456,21.09,-1.14
457,110.74,-0.88
458,437.70,0.23
459,485.16,0.93
460,427.15,1.39
461,89.65,1.46
462,0.00,1.44
463,0.00,1.33
464,10.55,0.85
465,68.55,0.22
466,42.19,-0.74
467,26.37,-1.01
468,84.38,-0.66
469,321.68,0.14
470,263.67,0.57
471,448.24,1.06
472,174.02,1.21
473,63.28,1.25
474,5.27,1.16
475,0.00,0.77
476,0.00,0.39
477,5.27,-0.60
478,0.00,-1.47
479,10.48,-2.16
480,107.50,-1.13
481,219.07,-0.32
482,423.36,0.50
483,200.22,0.78
484,330.78,1.18
485,21.12,1.19
486,35.56,1.11
487,68.99,0.93
