sl.no.,rainfall,spi_1
1,26.37,-0.08
2,0,-0.92
3,42.19,0.22
4,58.01,-0.02
5,116.02,0.48
6,232.03,0.92
7,237.3,1.26
8,321.68,1.37
9,268.95,1.17
10,42.19,-0.22
11,5.27,1.20
12,0,-0.92
13,10.55,-0.52
14,31.64,-0.31
15,26.37,-0.31
16,89.65,-0.08
17,89.65,0.26
18,247.85,0.98
19,384.96,1.54
20,411.33,1.85
21,158.2,0.71
22,58.01,-0.08
23,15.82,-0.68
24,0,0.49
25,0,0.49
26,10.55,-0.41
27,5.27,0.20
28,10.55,-0.41
29,42.19,-0.41
30,216.21,0.92
31,253.12,1.10
32,268.95,1.26
33,179.3,1.06
34,126.56,0.41
35,0,0.59
36,10.55,-0.52
37,5.27,-0.68
38,15.82,-0.68
39,0,-0.07
40,42.19,-0.68
41,47.46,-0.31
42,216.21,1.15
43,369.14,1.83
44,263.67,1.61
45,116.02,0.68
46,36.91,0.09
47,0,0.45
48,0,0.45
49,68.55,0.09
50,5.27,-0.68
51,0,0.16
52,0,0.15
53,10.55,-0.22
54,100.2,0.57
55,290.04,1.33
56,305.86,1.45
57,210.94,0.96
58,137.11,0.57
59,5.27,0.55
60,0,0.56
61,26.37,-0.22
62,21.09,-0.31
63,0,-0.68
64,26.37,-0.15
65,10.55,-0.92
66,263.67,1.19
67,300.59,1.51
68,353.32,1.31
69,126.56,0.68
70,58.01,0.26
71,79.1,0.22
72,0,-0.68
73,5.27,-0.92
74,0,0.19
75,5.27,-0.52
76,5.27,-0.92
77,36.91,-0.22
78,84.38,0.22
79,205.66,1.17
80,226.76,0.92
81,100.2,0.51
82,63.28,0.03
83,63.28,0.03
84,5.27,-0.92
85,0,0.04
86,15.82,-0.41
87,5.27,-0.92
88,21.09,-0.31
89,52.73,0.13
90,147.66,0.94
91,226.76,1.17
92,232.03,1.33
93,152.93,0.90
94,31.64,-0.22
95,5.27,0.12
96,0,0.11
97,0,0.11
98,0,0.10
99,15.82,-0.92
100,5.27,0.04
101,36.91,-0.08
102,221.48,1.08
103,268.95,1.31
104,337.5,1.39
105,216.21,0.90
106,10.55,-0.52
107,0,0.78
108,5.27,0.85
109,0,0.92
110,42.19,-0.22
111,31.64,-0.15
112,21.09,0.03
113,226.76,0.76
114,232.03,0.90
115,274.22,1.36
116,400.78,1.42
117,221.48,1.02
118,195.12,0.78
119,47.46,0.22
120,0,1.21
121,0,1.32
122,0,1.43
123,5.27,1.53
124,0,1.64
125,0,1.75
126,147.66,0.65
127,337.5,1.49
128,284.77,1.48
129,174.02,0.87
130,58.01,0.13
131,52.73,-0.02
132,5.27,-0.52
133,5.27,-0.68
134,0,-0.68
135,0,-0.32
136,10.55,-0.52
137,63.28,0.22
138,142.38,0.65
139,311.13,1.47
140,358.59,1.45
141,131.84,0.87
142,31.64,-0.15
143,26.37,-0.68
144,0,0.67
145,0,0.59
146,5.27,-0.92
147,5.27,-0.32
148,31.64,-0.22
149,58.01,0.13
150,200.39,1.04
151,337.5,1.55
152,268.95,1.40
153,221.48,1.06
154,110.74,0.41
155,0,-0.92
156,0,0.26
157,0,-0.92
158,5.27,-0.01
159,0,-0.05
160,10.55,-0.68
161,79.1,-0.41
162,179.3,1.17
163,522.07,2.08
164,316.41,1.66
165,200.39,1.14
166,89.65,0.48
167,10.55,-0.52
168,0,0.98
169,52.73,-0.08
170,10.55,-0.41
171,21.09,-0.41
172,10.55,-0.68
173,110.74,0.71
174,126.56,0.38
175,390.23,1.48
176,242.58,1.31
177,221.48,1.08
178,126.56,0.78
179,36.91,0.22
180,0,0.48
181,10.55,-0.52
182,10.55,-0.92
183,5.27,-0.68
184,15.82,-0.92
185,10.55,-0.41
186,152.93,0.83
187,290.04,1.57
188,279.49,1.33
189,121.29,0.51
190,58.01,0.03
191,15.82,-0.92
192,0,0.18
193,15.82,-0.22
194,0,0.40
195,31.64,-0.41
196,89.65,0.22
197,15.82,-0.68
198,94.92,0.57
199,284.77,1.37
200,348.05,1.79
201,137.11,0.76
202,15.82,-0.52
203,42.19,-0.22
204,31.64,-0.08
205,15.82,-0.08
206,15.82,-0.68
207,10.55,-0.31
208,10.55,-0.68
209,21.09,-0.22
210,184.57,1.02
211,274.22,1.22
212,200.39,1.12
213,168.75,0.94
214,184.57,0.80
215,73.83,0.18
216,0,1.03
217,0,1.15
218,0,1.26
219,0,1.38
220,0,1.49
221,58.01,0.34
222,179.3,0.96
223,158.2,1.10
224,500.98,1.65
225,184.57,1.02
226,58.01,0.18
227,0,1.01
228,0,1.01
229,0,-0.92
230,36.91,-0.41
231,0,-0.45
232,10.55,-0.52
233,47.46,-0.02
234,284.77,1.02
235,221.48,1.06
236,268.95,0.92
237,105.47,0.60
238,15.82,-0.41
239,0,0.01
240,0,-0.04
241,0,-0.09
242,0,-0.14
243,21.09,-0.08
244,31.64,-0.31
245,58.01,0.18
246,210.94,1.04
247,348.05,1.97
248,348.05,1.39
249,131.84,0.73
250,52.73,0.09
251,42.19,-0.31
252,0,0.73
253,31.64,-0.15
254,0,0.64
255,15.82,-0.52
256,21.09,-0.68
257,31.64,0.03
258,163.48,0.60
259,184.57,1.04
260,284.77,1.22
261,84.38,0.68
262,26.37,-0.08
263,0,-0.92
264,0,0.04
265,0,0.01
266,10.55,-0.68
267,26.37,-0.31
268,15.82,-0.11
269,10.55,-0.31
270,121.29,1.22
271,411.33,1.51
272,363.87,1.58
273,237.3,1.22
274,226.76,1.12
275,0,1.10
276,47.46,-0.15
277,47.46,-0.31
278,0,-0.42
279,5.27,-0.68
280,36.91,-0.15
281,21.09,-0.31
282,232.03,0.90
283,342.77,1.45
284,263.67,1.59
285,221.48,0.68
286,79.1,0.45
287,0,0.97
288,0,1.07
289,42.19,-0.22
290,5.27,-0.92
291,10.55,-0.68
292,15.82,-0.52
293,52.73,-0.15
294,163.48,0.92
295,342.77,1.62
296,242.58,1.14
297,332.23,1.36
298,195.12,0.80
299,5.27,-0.92
300,5.27,-0.52
301,0,0.00
302,0,-0.05
303,31.64,-0.15
304,63.28,-0.22
305,68.55,0.30
306,105.47,0.73
307,374.41,1.55
308,369.14,1.68
309,263.67,1.10
310,10.55,-0.31
311,42.19,-0.41
312,0,0.39
313,0,0.39
314,21.09,-0.15
315,0,0.28
316,10.55,-0.68
317,26.37,-0.15
318,342.77,1.14
319,210.94,1.02
320,284.77,1.37
321,237.3,1.51
322,68.55,0.18
323,21.09,-0.41
324,0,0.78
325,15.82,-0.41
326,26.37,-0.22
327,58.01,-0.22
328,21.09,-0.41
329,21.09,0.03
330,253.12,1.34
331,305.86,1.45
332,268.95,1.55
333,305.86,1.54
334,15.82,-0.31
335,0,0.72
336,0,0.74
337,0,0.77
338,0,0.79
339,10.55,0.81
340,5.27,-0.92
341,63.28,0.03
342,84.38,0.30
343,479.88,1.90
344,247.85,1.22
345,100.2,0.57
346,52.73,0.41
347,31.64,-0.31
348,5.27,0.28
349,10.55,-0.92
350,0,-0.05
351,5.27,-0.11
352,21.09,-0.92
353,58.01,0.26
354,232.03,1.04
355,379.69,1.40
356,321.68,1.26
357,247.85,1.00
358,126.56,0.38
359,52.73,-0.31
360,58.01,-0.02
361,0,0.28
362,15.82,-0.41
363,0,0.14
364,63.28,0.09
365,89.65,0.26
366,116.02,0.76
367,311.13,1.37
368,337.5,1.44
369,290.04,1.48
370,0,-0.92
371,0,0.89
372,15.82,-0.68
373,15.82,-0.22
374,0,0.29
375,0,0.29
376,52.73,-0.02
377,47.46,-0.41
378,189.84,1.06
379,495.7,1.82
380,411.33,1.72
381,258.4,1.04
382,31.64,-0.08
383,68.55,0.26
384,0,0.53
385,0,0.53
386,5.27,-0.68
387,0,0.29
388,58.01,0.13
389,15.82,-0.41
390,295.31,1.10
391,316.41,1.40
392,237.3,1.15
393,168.75,0.96
394,242.58,1.31
395,10.55,1.08
396,0,1.15
397,0,1.22
398,15.82,-0.41
399,15.82,-0.41
400,26.37,-0.68
401,52.73,0.26
402,110.74,0.51
403,448.24,1.75
404,268.95,1.29
405,305.86,1.22
406,84.38,0.22
407,0,0.61
408,0,-0.68
409,5.27,-0.52
410,0,0.02
411,21.09,-0.68
412,42.19,-0.08
413,26.37,-0.41
414,348.05,1.08
415,195.12,1.40
416,337.5,1.51
417,311.13,1.14
418,10.55,-0.52
419,10.55,-0.68
420,5.27,-0.68
421,0,0.24
422,0,-0.92
423,15.82,-0.92
424,10.55,-0.68
425,31.64,-0.31
426,174.02,0.51
427,311.13,1.14
428,258.4,1.31
429,290.04,1.08
430,121.29,0.63
431,0,-0.92
432,0,0.93
433,0,-0.92
434,0,0.19
435,21.09,-0.31
436,5.27,-0.92
437,26.37,-0.68
438,168.75,0.83
439,474.61,1.65
440,279.49,1.21
441,158.2,0.85
442,121.29,0.45
443,5.27,-0.92
444,0,0.08
445,0,0.05
446,0,0.03
447,5.27,0.00
448,42.19,-0.15
449,21.09,-0.08
450,73.83,0.54
451,311.13,1.44
452,495.7,1.47
453,179.3,0.80
454,47.46,-0.02
455,0,1.07
456,68.55,0.22
457,5.27,0.94
458,15.82,-0.52
459,10.55,-0.52
460,15.82,-0.68
461,36.91,0.09
462,79.1,0.30
463,432.42,1.45
464,469.34,1.69
465,284.77,1.29
466,89.65,0.41
467,0,0.95
468,0,1.02
469,10.55,-0.92
470,52.73,0.13
471,47.46,-0.08
472,26.37,-0.22
473,36.91,-0.22
474,316.41,1.49
475,189.84,0.76
476,326.95,1.58
477,168.75,0.54
478,121.29,0.51
479,5.27,0.45
480,0,0.43
481,0,0.41
482,5.27,0.39
483,0,0.37
484,14.26,-0.76
485,78.12,0.21
486,133.57,0.70
487,284.63,1.35
488,182.91,0.78
489,276.47,1.17
490,23.14,-0.24
491,41.33,-0.02
492,25.18,-0.09
